Time(s),Speed(RPM),Torque(Nm)
389.5,0,0
390,0,0
390.5,0,0
391,0,0
391.5,0,0
392,0,0
392.5,0,0
393,0,0
393.5,0,0
394,0,0
394.5,0,0
395,0,0
395.5,0,0
396,0,0
396.5,0,0
397,0,0
397.5,0,0
398,0,0
398.5,0,0
399,0,0
399.5,0,0
400,0,0
400.5,0,0
401,0,0
401.5,125.3297809,73.08357584
402,250.6595619,73.0969915
402.5,375.9893428,73.11935093
403,501.3191237,73.15065413
403.5,626.6489047,73.1909011
404,751.9786856,73.24009184
404.5,877.3084665,73.29822635
405,1002.638247,73.36530464
405.5,1002.638247,7.611470158
406,1002.638247,7.611470158
406.5,1002.638247,7.611470158
407,1002.638247,7.611470158
407.5,1002.638247,7.611470158
408,1002.638247,7.611470158
408.5,1002.638247,7.611470158
409,1002.638247,7.611470158
409.5,1002.638247,7.611470158
410,1002.638247,7.611470158
410.5,1002.638247,7.611470158
411,1002.638247,7.611470158
411.5,1002.638247,7.611470158
412,1002.638247,7.611470158
412.5,1002.638247,7.611470158
413,1002.638247,7.611470158
413.5,902.3744227,-45.04597555
414,802.110598,-45.09462967
414.5,701.8467732,-45.13755977
415,601.5829485,-45.17476586
415.5,501.3191237,-45.20624793
416,401.055299,-45.232006
416.5,300.7914742,-45.25204004
417,200.5276495,-45.26635008
417.5,100.2638247,-45.2749361
418,0,0
418.5,0,0
419,0,0
419.5,0,0
420,0,0
420.5,0,0
421,0,0
421.5,0,0
422,0,0
422.5,0,0
423,0,0
423.5,0,0
424,0,0
424.5,0,0
425,0,0
425.5,0,0
426,0,0
426.5,0,0
427,0,0
427.5,0,0
428,0,0
428.5,0,0
429,0,0
429.5,0,0
430,0,0
430.5,0,0
431,0,0
431.5,0,0
432,0,0
432.5,0,0
433,0,0
433.5,0,0
434,0,0
434.5,0,0
435,0,0
435.5,0,0
436,0,0
436.5,0,0
437,0,0
437.5,0,0
438,0,0
438.5,0,0
439,0,0
439.5,89.12339977,54.08581311
440,178.2467995,54.09259713
440.5,267.3701993,54.10390382
441,356.4935991,54.11973319
441.5,445.6169989,54.14008524
442,534.7403986,54.16495997
442.5,623.8637984,54.19435737
443,712.9871982,54.22827745
443.5,802.110598,54.26672021
444,891.2339977,54.30968564
444.5,980.3573975,54.35717376
445,1069.480797,54.40918455
445.5,1158.604197,54.46571801
